borough,animal_recovered,year_and_month
haringey,not recovered,feb-2021
haringey,recovered,feb-2021
southwark,recovered,feb-2021
lewisham,not recovered,feb-2021
bromley,not recovered,feb-2021
croydon,not recovered,feb-2021
croydon,not recovered,feb-2021
sutton,not recovered,feb-2021
tower hamlets,not recovered,feb-2021
tower hamlets,not recovered,feb-2021
hackney,not recovered,feb-2021
hackney,not recovered,feb-2021
barking and dagenham,not recovered,feb-2021
enfield,not recovered,feb-2021
enfield,not recovered,feb-2021
newham,not recovered,feb-2021
newham,not recovered,feb-2021
westminster,not recovered,feb-2021
barking and dagenham,recovered,feb-2021
kingston upon thames,not recovered,mar-2021
hounslow,not recovered,mar-2021
hounslow,not recovered,mar-2021
hillingdon,recovered,mar-2021
hillingdon,recovered,mar-2021
hillingdon,not recovered,mar-2021
hillingdon,not recovered,mar-2021
brent,not recovered,mar-2021
brent,not recovered,mar-2021
harrow,not recovered,mar-2021
barnet,not recovered,mar-2021
barnet,not recovered,mar-2021
islington,recovered,mar-2021
haringey,not recovered,mar-2021
haringey,not recovered,mar-2021
lewisham,not recovered,mar-2021
greenwich,not recovered,mar-2021
croydon,not recovered,mar-2021
croydon,recovered,mar-2021
croydon,not recovered,mar-2021
redbridge,not recovered,mar-2021
hackney,not recovered,mar-2021
waltham forest,not recovered,mar-2021
enfield,not recovered,mar-2021
newham,not recovered,mar-2021
havering,recovered,mar-2021
kensington and chelsea,not recovered,mar-2021
kensington and chelsea,not recovered,mar-2021
hammersmith and fulham,not recovered,mar-2021
hammersmith and fulham,not recovered,mar-2021
hammersmith and fulham,not recovered,mar-2021
wandsworth,not recovered,apr-2021
hounslow,not recovered,apr-2021
richmond upon thames,not recovered,apr-2021
hillingdon,not recovered,apr-2021
lambeth,not recovered,apr-2021
brent,not recovered,apr-2021
brent,not recovered,apr-2021
brent,not recovered,apr-2021
barnet,not recovered,apr-2021
barnet,recovered,apr-2021
haringey,not recovered,apr-2021
haringey,not recovered,apr-2021
southwark,not recovered,apr-2021
lewisham,not recovered,apr-2021
bromley,not recovered,apr-2021
bromley,not recovered,apr-2021
greenwich,not recovered,apr-2021
tower hamlets,not recovered,apr-2021
redbridge,recovered,apr-2021
enfield,not recovered,apr-2021
enfield,not recovered,apr-2021
havering,not recovered,apr-2021
havering,not recovered,apr-2021
westminster,not recovered,apr-2021
westminster,not recovered,apr-2021
westminster,not recovered,apr-2021
wandsworth,not recovered,may-2021
richmond upon thames,recovered,may-2021
hillingdon,not recovered,may-2021
hillingdon,not recovered,may-2021
lambeth,not recovered,may-2021
lambeth,not recovered,may-2021
lambeth,recovered,may-2021
brent,not recovered,may-2021
harrow,recovered,may-2021
harrow,not recovered,may-2021
camden,not recovered,may-2021
camden,not recovered,may-2021
barnet,not recovered,may-2021
barnet,not recovered,may-2021
ealing,recovered,may-2021
islington,recovered,may-2021
haringey,not recovered,may-2021
haringey,not recovered,may-2021
southwark,not recovered,may-2021
southwark,not recovered,may-2021
lewisham,not recovered,may-2021
greenwich,not recovered,may-2021
greenwich,not recovered,may-2021
bexley,not recovered,may-2021
tower hamlets,recovered,may-2021
redbridge,not recovered,may-2021
barking and dagenham,not recovered,may-2021
redbridge,not recovered,may-2021
waltham forest,not recovered,may-2021
waltham forest,not recovered,may-2021
waltham forest,not recovered,may-2021
waltham forest,not recovered,may-2021
waltham forest,not recovered,may-2021
waltham forest,not recovered,may-2021
waltham forest,not recovered,may-2021
barking and dagenham,not recovered,may-2021
enfield,not recovered,may-2021
enfield,not recovered,may-2021
enfield,not recovered,may-2021
enfield,not recovered,may-2021
havering,not recovered,may-2021
havering,not recovered,may-2021
greenwich,not recovered,may-2021
westminster,not recovered,may-2021
wandsworth,not recovered,jun-2021
kingston upon thames,not recovered,jun-2021
hounslow,not recovered,jun-2021
hounslow,recovered,jun-2021
hounslow,recovered,jun-2021
hounslow,not recovered,jun-2021
hounslow,not recovered,jun-2021
wandsworth,recovered,jun-2021
lambeth,not recovered,jun-2021
brent,not recovered,jun-2021
harrow,not recovered,jun-2021
harrow,not recovered,jun-2021
barnet,not recovered,jun-2021
ealing,not recovered,jun-2021
ealing,not recovered,jun-2021
haringey,not recovered,jun-2021
haringey,not recovered,jun-2021
southwark,recovered,jun-2021
lambeth,not recovered,jun-2021
southwark,recovered,jun-2021
lewisham,not recovered,jun-2021
bromley,recovered,jun-2021
bromley,recovered,jun-2021
bromley,not recovered,jun-2021
bromley,recovered,jun-2021
greenwich,not recovered,jun-2021
greenwich,not recovered,jun-2021
greenwich,not recovered,jun-2021
croydon,not recovered,jun-2021
croydon,not recovered,jun-2021
bexley,recovered,jun-2021
bexley,not recovered,jun-2021
bexley,not recovered,jun-2021
bexley,not recovered,jun-2021
bexley,not recovered,jun-2021
tower hamlets,not recovered,jun-2021
tower hamlets,not recovered,jun-2021
tower hamlets,not recovered,jun-2021
tower hamlets,not recovered,jun-2021
redbridge,not recovered,jun-2021
redbridge,not recovered,jun-2021
redbridge,not recovered,jun-2021
redbridge,not recovered,jun-2021
hackney,not recovered,jun-2021
barking and dagenham,not recovered,jun-2021
barking and dagenham,recovered,jun-2021
barking and dagenham,not recovered,jun-2021
hammersmith and fulham,not recovered,jun-2021
newham,not recovered,jun-2021
kensington and chelsea,not recovered,jun-2021
hammersmith and fulham,not recovered,jun-2021
wandsworth,not recovered,jul-2021
kingston upon thames,not recovered,jul-2021
hounslow,not recovered,jul-2021
hounslow,not recovered,jul-2021
hillingdon,not recovered,jul-2021
brent,not recovered,jul-2021
harrow,not recovered,jul-2021
harrow,not recovered,jul-2021
harrow,not recovered,jul-2021
camden,recovered,jul-2021
barnet,not recovered,jul-2021
ealing,not recovered,jul-2021
islington,not recovered,jul-2021
southwark,not recovered,jul-2021
southwark,recovered,jul-2021
bromley,not recovered,jul-2021
bromley,not recovered,jul-2021
croydon,not recovered,jul-2021
croydon,recovered,jul-2021
croydon,not recovered,jul-2021
sutton,not recovered,jul-2021
tower hamlets,not recovered,jul-2021
tower hamlets,recovered,jul-2021
tower hamlets,recovered,jul-2021
tower hamlets,not recovered,jul-2021
tower hamlets,not recovered,jul-2021
tower hamlets,not recovered,jul-2021
redbridge,recovered,jul-2021
waltham forest,not recovered,jul-2021
enfield,not recovered,jul-2021
enfield,not recovered,jul-2021
havering,not recovered,jul-2021
kensington and chelsea,not recovered,jul-2021
kensington and chelsea,not recovered,jul-2021
hammersmith and fulham,recovered,jul-2021
westminster,not recovered,jul-2021
wandsworth,not recovered,aug-2021
kingston upon thames,not recovered,aug-2021
kingston upon thames,not recovered,aug-2021
hounslow,not recovered,aug-2021
hillingdon,not recovered,aug-2021
hillingdon,not recovered,aug-2021
lambeth,not recovered,aug-2021
lambeth,not recovered,aug-2021
merton,not recovered,aug-2021
harrow,not recovered,aug-2021
harrow,not recovered,aug-2021
camden,not recovered,aug-2021
ealing,not recovered,aug-2021
islington,not recovered,aug-2021
southwark,not recovered,aug-2021
southwark,not recovered,aug-2021
southwark,not recovered,aug-2021
lewisham,not recovered,aug-2021
bromley,recovered,aug-2021
greenwich,not recovered,aug-2021
greenwich,not recovered,aug-2021
greenwich,not recovered,aug-2021
tower hamlets,not recovered,aug-2021
redbridge,not recovered,aug-2021
redbridge,not recovered,aug-2021
redbridge,not recovered,aug-2021
waltham forest,not recovered,aug-2021
waltham forest,not recovered,aug-2021
barking and dagenham,recovered,aug-2021
barking and dagenham,not recovered,aug-2021
enfield,not recovered,aug-2021
westminster,not recovered,aug-2021
kingston upon thames,not recovered,aug-2021
richmond upon thames,not recovered,jul-2021
hillingdon,not recovered,aug-2021
wandsworth,not recovered,sep-2021
kingston upon thames,recovered,sep-2021
kingston upon thames,not recovered,sep-2021
richmond upon thames,recovered,sep-2021
hillingdon,not recovered,sep-2021
lambeth,recovered,sep-2021
merton,not recovered,sep-2021
brent,not recovered,sep-2021
harrow,not recovered,sep-2021
barnet,not recovered,sep-2021
barnet,not recovered,sep-2021
barnet,not recovered,sep-2021
ealing,not recovered,sep-2021
haringey,not recovered,sep-2021
southwark,not recovered,sep-2021
bromley,recovered,sep-2021
croydon,not recovered,sep-2021
bexley,not recovered,sep-2021
bexley,recovered,sep-2021
bexley,not recovered,sep-2021
sutton,not recovered,sep-2021
tower hamlets,not recovered,sep-2021
redbridge,not recovered,sep-2021
hackney,not recovered,sep-2021
waltham forest,not recovered,sep-2021
waltham forest,not recovered,sep-2021
enfield,not recovered,sep-2021
enfield,not recovered,sep-2021
newham,not recovered,sep-2021
newham,not recovered,sep-2021
hammersmith and fulham,not recovered,sep-2021
hammersmith and fulham,not recovered,sep-2021
hounslow,not recovered,oct-2021
richmond upon thames,not recovered,oct-2021
richmond upon thames,not recovered,oct-2021
hillingdon,not recovered,oct-2021
hillingdon,not recovered,oct-2021
hillingdon,not recovered,oct-2021
lambeth,not recovered,oct-2021
lambeth,not recovered,oct-2021
merton,not recovered,oct-2021
merton,not recovered,oct-2021
camden,not recovered,oct-2021
camden,not recovered,oct-2021
camden,not recovered,oct-2021
islington,recovered,oct-2021
southwark,not recovered,oct-2021
lewisham,not recovered,oct-2021
lewisham,not recovered,oct-2021
bromley,not recovered,oct-2021
greenwich,not recovered,oct-2021
croydon,not recovered,oct-2021
croydon,not recovered,oct-2021
croydon,not recovered,oct-2021
newham,not recovered,oct-2021
havering,not recovered,oct-2021
kensington and chelsea,not recovered,oct-2021
kensington and chelsea,not recovered,oct-2021
enfield,not recovered,oct-2021
wandsworth,not recovered,nov-2021
hillingdon,not recovered,nov-2021
barnet,not recovered,nov-2021
barnet,not recovered,nov-2021
barnet,not recovered,nov-2021
barnet,not recovered,nov-2021
ealing,recovered,nov-2021
haringey,not recovered,nov-2021
southwark,not recovered,nov-2021
southwark,not recovered,nov-2021
bromley,recovered,nov-2021
greenwich,not recovered,nov-2021
croydon,not recovered,nov-2021
croydon,not recovered,nov-2021
bexley,not recovered,nov-2021
bexley,not recovered,nov-2021
tower hamlets,not recovered,nov-2021
tower hamlets,not recovered,nov-2021
redbridge,not recovered,nov-2021
redbridge,not recovered,nov-2021
hackney,not recovered,nov-2021
barking and dagenham,not recovered,nov-2021
enfield,not recovered,nov-2021
havering,not recovered,nov-2021
hammersmith and fulham,not recovered,nov-2021
wandsworth,recovered,dec-2021
wandsworth,not recovered,dec-2021
wandsworth,not recovered,dec-2021
hounslow,recovered,dec-2021
hillingdon,not recovered,dec-2021
hillingdon,recovered,dec-2021
lambeth,not recovered,dec-2021
lambeth,not recovered,dec-2021
lambeth,recovered,dec-2021
merton,not recovered,dec-2021
merton,not recovered,dec-2021
brent,not recovered,dec-2021
brent,not recovered,dec-2021
islington,not recovered,dec-2021
islington,not recovered,dec-2021
haringey,not recovered,dec-2021
southwark,not recovered,dec-2021
lewisham,not recovered,dec-2021
bromley,recovered,dec-2021
bromley,not recovered,dec-2021
greenwich,not recovered,dec-2021
greenwich,recovered,dec-2021
bexley,not recovered,dec-2021
tower hamlets,not recovered,dec-2021
redbridge,not recovered,dec-2021
hackney,not recovered,dec-2021
enfield,not recovered,dec-2021
enfield,recovered,dec-2021
havering,not recovered,dec-2021
havering,not recovered,dec-2021
greenwich,not recovered,dec-2021
hammersmith and fulham,recovered,mar-2021
wandsworth,not recovered,jan-2022
kingston upon thames,not recovered,jan-2022
harrow,not recovered,jan-2022
lewisham,recovered,jan-2022
camden,not recovered,jan-2022
ealing,not recovered,jan-2022
ealing,not recovered,jan-2022
southwark,not recovered,jan-2022
bromley,recovered,jan-2022
greenwich,not recovered,jan-2022
greenwich,not recovered,jan-2022
greenwich,not recovered,jan-2022
croydon,not recovered,jan-2022
croydon,not recovered,jan-2022
croydon,not recovered,jan-2022
croydon,not recovered,jan-2022
croydon,not recovered,jan-2022
bexley,not recovered,jan-2022
bexley,recovered,jan-2022
tower hamlets,not recovered,jan-2022
hackney,not recovered,jan-2022
hackney,not recovered,jan-2022
hackney,not recovered,jan-2022
waltham forest,recovered,jan-2022
barking and dagenham,not recovered,jan-2022
enfield,recovered,jan-2022
enfield,not recovered,jan-2022
enfield,not recovered,jan-2022
waltham forest,not recovered,jan-2022
newham,not recovered,jan-2022
newham,not recovered,jan-2022
havering,not recovered,jan-2022
havering,not recovered,jan-2022
westminster,not recovered,jan-2022
enfield,not recovered,jan-2022
enfield,not recovered,jan-2022
wandsworth,recovered,feb-2022
hounslow,recovered,feb-2022
hounslow,not recovered,feb-2022
lambeth,recovered,feb-2022
merton,not recovered,feb-2022
ealing,not recovered,feb-2022
ealing,not recovered,feb-2022
islington,not recovered,feb-2022
haringey,not recovered,feb-2022
lewisham,not recovered,feb-2022
lewisham,not recovered,feb-2022
lewisham,not recovered,feb-2022
bromley,not recovered,feb-2022
greenwich,recovered,feb-2022
greenwich,not recovered,feb-2022
croydon,not recovered,feb-2022
croydon,not recovered,feb-2022
hackney,not recovered,feb-2022
hackney,not recovered,feb-2022
waltham forest,not recovered,feb-2022
enfield,not recovered,feb-2022
newham,not recovered,feb-2022
newham,not recovered,feb-2022
havering,not recovered,feb-2022
havering,not recovered,feb-2022
havering,not recovered,feb-2022
kensington and chelsea,not recovered,feb-2022
kensington and chelsea,not recovered,feb-2022
lambeth,not recovered,mar-2022
merton,not recovered,mar-2022
merton,not recovered,mar-2022
brent,not recovered,mar-2022
harrow,recovered,mar-2022
islington,not recovered,mar-2022
lewisham,recovered,mar-2022
croydon,not recovered,mar-2022
bromley,not recovered,mar-2022
croydon,not recovered,mar-2022
croydon,not recovered,mar-2022
bexley,recovered,mar-2022
bexley,not recovered,mar-2022
sutton,not recovered,mar-2022
sutton,not recovered,mar-2022
tower hamlets,not recovered,mar-2022
redbridge,not recovered,mar-2022
hackney,not recovered,mar-2022
hackney,not recovered,mar-2022
hackney,not recovered,mar-2022
waltham forest,not recovered,mar-2022
barking and dagenham,not recovered,mar-2022
barking and dagenham,not recovered,mar-2022
barking and dagenham,not recovered,mar-2022
enfield,not recovered,mar-2022
enfield,not recovered,mar-2022
newham,recovered,mar-2022
havering,recovered,mar-2022
havering,not recovered,mar-2022
kensington and chelsea,not recovered,mar-2022
kensington and chelsea,not recovered,mar-2022
kensington and chelsea,not recovered,mar-2022
westminster,not recovered,mar-2022
westminster,not recovered,mar-2022
richmond upon thames,not recovered,apr-2022
hillingdon,not recovered,apr-2022
hillingdon,not recovered,apr-2022
hillingdon,not recovered,apr-2022
lambeth,not recovered,apr-2022
merton,not recovered,apr-2022
brent,not recovered,apr-2022
ealing,not recovered,apr-2022
islington,not recovered,apr-2022
haringey,not recovered,apr-2022
southwark,not recovered,apr-2022
bromley,not recovered,apr-2022
lewisham,not recovered,apr-2022
bexley,not recovered,apr-2022
bexley,not recovered,apr-2022
sutton,not recovered,apr-2022
tower hamlets,not recovered,apr-2022
redbridge,not recovered,apr-2022
redbridge,not recovered,apr-2022
hackney,not recovered,apr-2022
hackney,not recovered,apr-2022
waltham forest,not recovered,apr-2022
enfield,not recovered,apr-2022
waltham forest,not recovered,apr-2022
enfield,not recovered,apr-2022
enfield,not recovered,apr-2022
enfield,not recovered,apr-2022
newham,not recovered,apr-2022
havering,not recovered,apr-2022
bexley,not recovered,apr-2022
westminster,not recovered,apr-2022
croydon,recovered,apr-2022
wandsworth,not recovered,may-2022
kingston upon thames,not recovered,may-2022
kingston upon thames,not recovered,may-2022
lambeth,recovered,may-2022
lambeth,not recovered,may-2022
lambeth,not recovered,may-2022
brent,not recovered,may-2022
harrow,not recovered,may-2022
camden,not recovered,may-2022
camden,not recovered,may-2022
barnet,not recovered,may-2022
barnet,not recovered,may-2022
ealing,not recovered,may-2022
islington,not recovered,may-2022
haringey,not recovered,may-2022
haringey,not recovered,may-2022
southwark,not recovered,may-2022
bromley,recovered,may-2022
bromley,not recovered,may-2022
bromley,not recovered,may-2022
bromley,not recovered,may-2022
bromley,not recovered,may-2022
greenwich,not recovered,may-2022
greenwich,not recovered,may-2022
greenwich,not recovered,may-2022
greenwich,not recovered,may-2022
croydon,not recovered,may-2022
croydon,not recovered,may-2022
croydon,not recovered,may-2022
bexley,not recovered,may-2022
sutton,not recovered,may-2022
hackney,not recovered,may-2022
hackney,not recovered,may-2022
havering,not recovered,may-2022
havering,not recovered,may-2022
hammersmith and fulham,not recovered,may-2022
hammersmith and fulham,not recovered,may-2022
wandsworth,not recovered,jun-2022
hillingdon,not recovered,jun-2022
hillingdon,not recovered,jun-2022
hillingdon,not recovered,jun-2022
lambeth,not recovered,jun-2022
camden,not recovered,jun-2022
barnet,not recovered,jun-2022
brent,not recovered,jun-2022
lewisham,not recovered,jun-2022
lewisham,not recovered,jun-2022
greenwich,not recovered,jun-2022
greenwich,not recovered,jun-2022
croydon,not recovered,jun-2022
croydon,not recovered,jun-2022
croydon,not recovered,jun-2022
croydon,not recovered,jun-2022
croydon,not recovered,jun-2022
croydon,not recovered,jun-2022
tower hamlets,not recovered,jun-2022
tower hamlets,not recovered,jun-2022
redbridge,not recovered,jun-2022
redbridge,not recovered,jun-2022
barking and dagenham,not recovered,jun-2022
enfield,not recovered,jun-2022
newham,not recovered,jun-2022
newham,not recovered,jun-2022
havering,recovered,jun-2022
havering,not recovered,jun-2022
kensington and chelsea,recovered,jun-2022
hammersmith and fulham,not recovered,jun-2022
lambeth,not recovered,jun-2022
westminster,not recovered,jun-2022
ealing,not recovered,jun-2022
hounslow,not recovered,jul-2022
richmond upon thames,not recovered,jul-2022
hillingdon,not recovered,jul-2022
hillingdon,recovered,jul-2022
lambeth,not recovered,jul-2022
brent,not recovered,jul-2022
brent,not recovered,jul-2022
camden,not recovered,jul-2022
barnet,not recovered,jul-2022
barnet,not recovered,jul-2022
ealing,not recovered,jul-2022
ealing,not recovered,jul-2022
islington,recovered,jul-2022
southwark,not recovered,jul-2022
bromley,not recovered,jul-2022
greenwich,not recovered,jul-2022
greenwich,not recovered,jul-2022
greenwich,recovered,jul-2022
croydon,not recovered,jul-2022
croydon,not recovered,jul-2022
croydon,not recovered,jul-2022
southwark,not recovered,jul-2022
redbridge,not recovered,jul-2022
hackney,recovered,jul-2022
hackney,not recovered,jul-2022
enfield,not recovered,jul-2022
enfield,not recovered,jul-2022
newham,not recovered,jul-2022
kensington and chelsea,not recovered,jul-2022
kensington and chelsea,not recovered,jul-2022
westminster,not recovered,jul-2022
westminster,recovered,jul-2022
hounslow,recovered,aug-2022
richmond upon thames,not recovered,aug-2022
hillingdon,not recovered,aug-2022
lambeth,recovered,aug-2022
lambeth,not recovered,aug-2022
lambeth,not recovered,aug-2022
brent,not recovered,aug-2022
harrow,not recovered,aug-2022
barnet,not recovered,aug-2022
barnet,not recovered,aug-2022
ealing,not recovered,aug-2022
islington,recovered,aug-2022
lewisham,not recovered,aug-2022
bromley,not recovered,aug-2022
greenwich,not recovered,aug-2022
greenwich,recovered,aug-2022
croydon,not recovered,aug-2022
croydon,not recovered,aug-2022
croydon,not recovered,aug-2022
croydon,not recovered,aug-2022
croydon,recovered,aug-2022
croydon,not recovered,aug-2022
bexley,recovered,aug-2022
tower hamlets,not recovered,aug-2022
waltham forest,not recovered,aug-2022
barking and dagenham,not recovered,aug-2022
barking and dagenham,recovered,aug-2022
hammersmith and fulham,not recovered,aug-2022
hammersmith and fulham,not recovered,aug-2022
kensington and chelsea,not recovered,aug-2022
lambeth,not recovered,sep-2022
merton,not recovered,sep-2022
brent,not recovered,sep-2022
harrow,not recovered,sep-2022
harrow,not recovered,sep-2022
harrow,not recovered,sep-2022
camden,not recovered,sep-2022
camden,not recovered,sep-2022
camden,not recovered,sep-2022
barnet,not recovered,sep-2022
hackney,not recovered,sep-2022
haringey,not recovered,sep-2022
haringey,not recovered,sep-2022
haringey,not recovered,sep-2022
lewisham,not recovered,sep-2022
lewisham,not recovered,sep-2022
lewisham,not recovered,sep-2022
greenwich,not recovered,sep-2022
greenwich,not recovered,sep-2022
croydon,not recovered,sep-2022
croydon,not recovered,sep-2022
bexley,not recovered,sep-2022
bexley,not recovered,sep-2022
sutton,not recovered,sep-2022
sutton,not recovered,sep-2022
tower hamlets,not recovered,sep-2022
redbridge,not recovered,sep-2022
hackney,not recovered,sep-2022
hackney,not recovered,sep-2022
hackney,not recovered,sep-2022
hackney,not recovered,sep-2022
hackney,not recovered,sep-2022
barking and dagenham,not recovered,sep-2022
enfield,recovered,sep-2022
newham,not recovered,sep-2022
kensington and chelsea,not recovered,sep-2022
kensington and chelsea,not recovered,sep-2022
hammersmith and fulham,recovered,sep-2022
hammersmith and fulham,not recovered,sep-2022
hammersmith and fulham,not recovered,sep-2022
wandsworth,not recovered,oct-2022
kingston upon thames,not recovered,oct-2022
hounslow,not recovered,oct-2022
hounslow,not recovered,oct-2022
richmond upon thames,not recovered,oct-2022
hillingdon,not recovered,oct-2022
lambeth,not recovered,oct-2022
camden,not recovered,oct-2022
ealing,not recovered,oct-2022
islington,not recovered,oct-2022
westminster,not recovered,oct-2022
lewisham,recovered,oct-2022
bromley,not recovered,oct-2022
bromley,not recovered,oct-2022
bromley,not recovered,oct-2022
bromley,not recovered,oct-2022
bromley,not recovered,oct-2022
bromley,not recovered,oct-2022
bromley,not recovered,oct-2022
bromley,recovered,oct-2022
sutton,not recovered,oct-2022
barking and dagenham,not recovered,oct-2022
enfield,not recovered,oct-2022
waltham forest,not recovered,oct-2022
hammersmith and fulham,not recovered,oct-2022
hammersmith and fulham,not recovered,oct-2022
kingston upon thames,recovered,nov-2022
hounslow,not recovered,nov-2022
richmond upon thames,not recovered,nov-2022
hillingdon,not recovered,nov-2022
lambeth,not recovered,nov-2022
brent,not recovered,nov-2022
ealing,not recovered,nov-2022
ealing,not recovered,nov-2022
ealing,not recovered,nov-2022
ealing,not recovered,nov-2022
islington,not recovered,nov-2022
haringey,not recovered,nov-2022
haringey,not recovered,nov-2022
southwark,not recovered,nov-2022
lewisham,not recovered,nov-2022
bromley,not recovered,nov-2022
greenwich,not recovered,nov-2022
bexley,not recovered,nov-2022
bexley,not recovered,nov-2022
sutton,not recovered,nov-2022
tower hamlets,not recovered,nov-2022
hackney,not recovered,nov-2022
hackney,not recovered,nov-2022
hackney,not recovered,nov-2022
hackney,not recovered,nov-2022
waltham forest,not recovered,nov-2022
enfield,recovered,nov-2022
enfield,not recovered,nov-2022
enfield,not recovered,nov-2022
enfield,not recovered,nov-2022
enfield,not recovered,nov-2022
enfield,not recovered,nov-2022
newham,not recovered,nov-2022
havering,not recovered,nov-2022
wandsworth,recovered,dec-2022
wandsworth,recovered,dec-2022
hounslow,not recovered,dec-2022
merton,not recovered,dec-2022
merton,not recovered,dec-2022
merton,not recovered,dec-2022
merton,not recovered,dec-2022
merton,not recovered,dec-2022
merton,not recovered,dec-2022
merton,not recovered,dec-2022
camden,not recovered,dec-2022
ealing,not recovered,dec-2022
ealing,not recovered,dec-2022
ealing,not recovered,dec-2022
ealing,not recovered,dec-2022
islington,not recovered,dec-2022
haringey,not recovered,dec-2022
southwark,not recovered,dec-2022
greenwich,not recovered,dec-2022
greenwich,not recovered,dec-2022
greenwich,not recovered,dec-2022
croydon,not recovered,dec-2022
tower hamlets,not recovered,dec-2022
tower hamlets,not recovered,dec-2022
tower hamlets,not recovered,dec-2022
redbridge,not recovered,dec-2022
redbridge,not recovered,dec-2022
waltham forest,not recovered,dec-2022
barking and dagenham,not recovered,dec-2022
enfield,not recovered,dec-2022
newham,not recovered,dec-2022
newham,not recovered,dec-2022
havering,not recovered,dec-2022
kensington and chelsea,not recovered,dec-2022
westminster,not recovered,dec-2022
hillingdon,not recovered,dec-2022
wandsworth,not recovered,jan-2023
lambeth,not recovered,jan-2023
lambeth,not recovered,jan-2023
lambeth,recovered,jan-2023
lambeth,not recovered,jan-2023
lambeth,recovered,jan-2023
lambeth,not recovered,jan-2023
lambeth,not recovered,jan-2023
brent,not recovered,jan-2023
harrow,not recovered,jan-2023
camden,not recovered,jan-2023
barnet,not recovered,jan-2023
haringey,recovered,jan-2023
croydon,not recovered,jan-2023
bexley,not recovered,jan-2023
hackney,not recovered,jan-2023
hackney,not recovered,jan-2023
waltham forest,not recovered,jan-2023
enfield,not recovered,jan-2023
newham,recovered,jan-2023
hammersmith and fulham,not recovered,jan-2023
westminster,not recovered,jan-2023
kingston upon thames,not recovered,feb-2023
kingston upon thames,not recovered,feb-2023
richmond upon thames,not recovered,feb-2023
brent,not recovered,feb-2023
harrow,not recovered,feb-2023
harrow,not recovered,feb-2023
harrow,not recovered,feb-2023
barnet,not recovered,feb-2023
barnet,not recovered,feb-2023
islington,not recovered,feb-2023
islington,not recovered,feb-2023
islington,not recovered,feb-2023
lewisham,recovered,feb-2023
southwark,not recovered,feb-2023
bromley,not recovered,feb-2023
croydon,not recovered,feb-2023
tower hamlets,not recovered,feb-2023
tower hamlets,not recovered,feb-2023
waltham forest,not recovered,feb-2023
enfield,not recovered,feb-2023
hammersmith and fulham,not recovered,feb-2023
lambeth,not recovered,feb-2023
hammersmith and fulham,not recovered,feb-2023
westminster,recovered,feb-2023
westminster,not recovered,feb-2023
hillingdon,not recovered,mar-2023
hillingdon,not recovered,mar-2023
hillingdon,not recovered,mar-2023
camden,not recovered,mar-2023
camden,not recovered,mar-2023
barnet,not recovered,mar-2023
ealing,not recovered,mar-2023
islington,not recovered,mar-2023
islington,not recovered,mar-2023
haringey,not recovered,mar-2023
haringey,not recovered,mar-2023
southwark,not recovered,mar-2023
bromley,not recovered,mar-2023
bromley,not recovered,mar-2023
bromley,not recovered,mar-2023
greenwich,not recovered,mar-2023
bexley,not recovered,mar-2023
bexley,not recovered,mar-2023
tower hamlets,not recovered,mar-2023
redbridge,not recovered,mar-2023
waltham forest,not recovered,mar-2023
waltham forest,not recovered,mar-2023
barking and dagenham,not recovered,mar-2023
barking and dagenham,not recovered,mar-2023
barking and dagenham,not recovered,mar-2023
barking and dagenham,not recovered,mar-2023
barking and dagenham,not recovered,mar-2023
bromley,not recovered,mar-2023
newham,not recovered,mar-2023
hammersmith and fulham,not recovered,mar-2023
bromley,not recovered,mar-2023
westminster,recovered,mar-2023
wandsworth,not recovered,apr-2023
hounslow,not recovered,apr-2023
hounslow,recovered,apr-2023
merton,not recovered,apr-2023
brent,recovered,apr-2023
islington,not recovered,apr-2023
haringey,not recovered,apr-2023
haringey,not recovered,apr-2023
haringey,not recovered,apr-2023
bromley,not recovered,apr-2023
bromley,not recovered,apr-2023
greenwich,not recovered,apr-2023
greenwich,not recovered,apr-2023
croydon,not recovered,apr-2023
croydon,not recovered,apr-2023
bexley,not recovered,apr-2023
bexley,not recovered,apr-2023
tower hamlets,not recovered,apr-2023
tower hamlets,not recovered,apr-2023
redbridge,not recovered,apr-2023
redbridge,not recovered,apr-2023
hackney,not recovered,apr-2023
waltham forest,not recovered,apr-2023
enfield,not recovered,apr-2023
enfield,not recovered,apr-2023
havering,not recovered,apr-2023
kensington and chelsea,not recovered,apr-2023
kingston upon thames,recovered,may-2023
hounslow,not recovered,may-2023
richmond upon thames,not recovered,may-2023
hillingdon,not recovered,may-2023
lambeth,not recovered,may-2023
lambeth,not recovered,may-2023
lambeth,not recovered,may-2023
lambeth,not recovered,may-2023
lambeth,not recovered,may-2023
lambeth,not recovered,may-2023
merton,not recovered,may-2023
camden,not recovered,may-2023
islington,not recovered,may-2023
islington,not recovered,may-2023
southwark,not recovered,may-2023
lewisham,not recovered,may-2023
bromley,not recovered,may-2023
bromley,not recovered,may-2023
bromley,not recovered,may-2023
tower hamlets,not recovered,may-2023
tower hamlets,not recovered,may-2023
hackney,not recovered,may-2023
hackney,not recovered,may-2023
enfield,not recovered,may-2023
enfield,not recovered,may-2023
enfield,not recovered,may-2023
newham,not recovered,may-2023
havering,not recovered,may-2023
hammersmith and fulham,not recovered,may-2023
tower hamlets,not recovered,may-2023
barnet,not recovered,feb-2023
barking and dagenham,not recovered,apr-2023
