borough,animal_recovered,year_and_month
newham,not recovered,jun-2011
hammersmith and fulham,recovered,jun-2011
redbridge,recovered,jun-2011
barking and dagenham,recovered,jun-2011
greenwich,recovered,jun-2011
westminster,not recovered,jun-2011
hillingdon,not recovered,jun-2011
newham,not recovered,jun-2011
croydon,not recovered,jun-2011
waltham forest,recovered,jun-2011
redbridge,not recovered,jul-2011
croydon,not recovered,jul-2011
hillingdon,not recovered,jul-2011
redbridge,not recovered,jul-2011
croydon,not recovered,jul-2011
redbridge,recovered,jul-2011
barnet,recovered,jul-2011
greenwich,not recovered,jul-2011
lambeth,not recovered,jul-2011
enfield,not recovered,jul-2011
brent,not recovered,jul-2011
hounslow,not recovered,jul-2011
hounslow,not recovered,jul-2011
haringey,not recovered,jul-2011
islington,not recovered,jul-2011
kensington and chelsea,recovered,aug-2011
lewisham,not recovered,aug-2011
bexley,not recovered,aug-2011
enfield,not recovered,aug-2011
ealing,not recovered,aug-2011
southwark,not recovered,aug-2011
lambeth,not recovered,aug-2011
greenwich,not recovered,aug-2011
lewisham,not recovered,aug-2011
croydon,not recovered,aug-2011
hillingdon,not recovered,aug-2011
waltham forest,not recovered,aug-2011
kingston upon thames,not recovered,aug-2011
enfield,not recovered,aug-2011
haringey,not recovered,aug-2011
hounslow,not recovered,aug-2011
barnet,not recovered,sep-2011
redbridge,not recovered,sep-2011
hillingdon,not recovered,sep-2011
hillingdon,not recovered,sep-2011
hillingdon,not recovered,sep-2011
hammersmith and fulham,not recovered,sep-2011
ealing,not recovered,sep-2011
lewisham,not recovered,sep-2011
bromley,recovered,sep-2011
newham,not recovered,sep-2011
southwark,not recovered,sep-2011
hammersmith and fulham,not recovered,sep-2011
islington,not recovered,sep-2011
southwark,not recovered,sep-2011
haringey,not recovered,sep-2011
croydon,not recovered,sep-2011
wandsworth,not recovered,sep-2011
islington,not recovered,oct-2011
hounslow,not recovered,oct-2011
richmond upon thames,not recovered,oct-2011
bromley,not recovered,oct-2011
wandsworth,not recovered,oct-2011
redbridge,not recovered,oct-2011
haringey,not recovered,oct-2011
kensington and chelsea,recovered,oct-2011
lewisham,not recovered,oct-2011
hillingdon,not recovered,oct-2011
hillingdon,not recovered,oct-2011
haringey,not recovered,oct-2011
croydon,not recovered,oct-2011
hillingdon,not recovered,oct-2011
tower hamlets,not recovered,oct-2011
lewisham,not recovered,oct-2011
croydon,recovered,oct-2011
hammersmith and fulham,not recovered,oct-2011
bromley,not recovered,oct-2011
newham,not recovered,oct-2011
newham,not recovered,oct-2011
bexley,not recovered,oct-2011
hillingdon,not recovered,oct-2011
waltham forest,not recovered,oct-2011
lewisham,not recovered,oct-2011
hillingdon,recovered,oct-2011
waltham forest,recovered,oct-2011
merton,not recovered,nov-2011
enfield,not recovered,nov-2011
camden,not recovered,nov-2011
barnet,not recovered,nov-2011
hounslow,not recovered,nov-2011
hounslow,not recovered,nov-2011
croydon,not recovered,nov-2011
newham,not recovered,nov-2011
camden,not recovered,nov-2011
hammersmith and fulham,not recovered,nov-2011
bromley,not recovered,nov-2011
lambeth,not recovered,nov-2011
lewisham,recovered,nov-2011
hillingdon,not recovered,nov-2011
newham,not recovered,nov-2011
islington,not recovered,nov-2011
islington,not recovered,nov-2011
bromley,not recovered,nov-2011
enfield,not recovered,nov-2011
haringey,not recovered,nov-2011
croydon,not recovered,nov-2011
hounslow,not recovered,dec-2011
lambeth,not recovered,dec-2011
westminster,recovered,dec-2011
hounslow,recovered,dec-2011
wandsworth,not recovered,dec-2011
southwark,not recovered,dec-2011
wandsworth,not recovered,dec-2011
southwark,not recovered,dec-2011
hackney,not recovered,dec-2011
havering,not recovered,dec-2011
southwark,not recovered,dec-2011
barnet,not recovered,dec-2011
hackney,not recovered,dec-2011
wandsworth,not recovered,jan-2012
merton,not recovered,jan-2012
haringey,recovered,jan-2012
barking and dagenham,not recovered,jan-2012
croydon,not recovered,jan-2012
greenwich,not recovered,jan-2012
lambeth,not recovered,jan-2012
brent,not recovered,jan-2012
hounslow,not recovered,jan-2012
waltham forest,not recovered,jan-2012
newham,recovered,jan-2012
redbridge,recovered,jan-2012
southwark,recovered,jan-2012
southwark,recovered,jan-2012
ealing,recovered,jan-2012
croydon,recovered,jan-2012
lambeth,not recovered,jan-2012
merton,not recovered,jan-2012
ealing,not recovered,feb-2012
lewisham,not recovered,feb-2012
lambeth,not recovered,feb-2012
greenwich,not recovered,feb-2012
greenwich,not recovered,feb-2012
merton,not recovered,feb-2012
redbridge,not recovered,feb-2012
islington,recovered,feb-2012
harrow,not recovered,feb-2012
bromley,not recovered,feb-2012
harrow,not recovered,feb-2012
havering,not recovered,feb-2012
lewisham,not recovered,feb-2012
merton,not recovered,feb-2012
lambeth,not recovered,mar-2012
hounslow,not recovered,mar-2012
lewisham,not recovered,mar-2012
hackney,not recovered,mar-2012
bexley,not recovered,mar-2012
newham,recovered,mar-2012
greenwich,not recovered,mar-2012
wandsworth,not recovered,mar-2012
lambeth,recovered,mar-2012
havering,not recovered,mar-2012
hammersmith and fulham,recovered,mar-2012
brent,not recovered,mar-2012
ealing,not recovered,mar-2012
harrow,not recovered,mar-2012
hillingdon,not recovered,mar-2012
westminster,not recovered,mar-2012
wandsworth,not recovered,mar-2012
hillingdon,not recovered,mar-2012
enfield,recovered,mar-2012
croydon,not recovered,mar-2012
hounslow,not recovered,mar-2012
islington,not recovered,mar-2012
barking and dagenham,not recovered,mar-2012
enfield,recovered,mar-2012
islington,not recovered,apr-2012
croydon,recovered,apr-2012
sutton,recovered,apr-2012
lambeth,recovered,apr-2012
camden,not recovered,apr-2012
bexley,recovered,apr-2012
camden,not recovered,apr-2012
brent,not recovered,apr-2012
bexley,not recovered,apr-2012
kensington and chelsea,not recovered,apr-2012
westminster,not recovered,apr-2012
westminster,not recovered,may-2012
lambeth,not recovered,may-2012
ealing,not recovered,may-2012
islington,not recovered,may-2012
camden,not recovered,may-2012
hillingdon,not recovered,may-2012
