Count of Stolen Animals,Type of Animal,Borough,Type Of Offence,Animal Recovered,Year and Month
1,Dog,Waltham Forest,Robbery,Not Recovered,Aug-2010
1,Dog,Enfield,Burglary,Not Recovered,Aug-2010
1,Dog,Richmond upon Thames,Theft and Handling,Not Recovered,Aug-2010
2,Bird,Sutton,Theft and Handling,Not Recovered,Aug-2010
1,Dog,Barking and Dagenham,Theft and Handling,Not Recovered,Aug-2010
1,Dog,Enfield,Robbery,Not Recovered,Aug-2010
4,Bird,Bromley,Burglary,Not Recovered,Sep-2010
1,Dog,Brent,Robbery,Not Recovered,Sep-2010
1,Dog,Lambeth,Theft and Handling,Not Recovered,Sep-2010
1,Dog,Southwark,Robbery,Not Recovered,Sep-2010
1,Dog,Waltham Forest,Theft and Handling,Not Recovered,Sep-2010
1,Dog,Enfield,Theft and Handling,Not Recovered,Sep-2010
1,Dog,Kingston upon Thames,Theft and Handling,Not Recovered,Sep-2010
1,Dog,Lambeth,Theft and Handling,Recovered,Sep-2010
1,Dog,Enfield,Theft and Handling,Not Recovered,Sep-2010
1,Dog,Greenwich,Theft and Handling,Not Recovered,Sep-2010
1,Cat,Brent,Theft and Handling,Recovered,Sep-2010
1,Dog,Waltham Forest,Theft and Handling,Not Recovered,Sep-2010
1,Dog,Islington,Theft and Handling,Not Recovered,Sep-2010
1,Dog,Bexley,Theft and Handling,Not Recovered,Sep-2010
1,Dog,Enfield,Burglary,Not Recovered,Sep-2010
1,Dog,Enfield,Burglary,Not Recovered,Sep-2010
1,Dog,Ealing,Theft and Handling,Not Recovered,Sep-2010
1,Dog,Lambeth,Robbery,Not Recovered,Sep-2010
1,Dog,Islington,Theft and Handling,Recovered,Sep-2010
3,Bird,Enfield,Theft and Handling,Not Recovered,Sep-2010
1,Dog,Barking and Dagenham,Theft and Handling,Not Recovered,Sep-2010
1,Dog,Enfield,Theft and Handling,Not Recovered,Sep-2010
1,Dog,Southwark,Theft and Handling,Not Recovered,Sep-2010
1,Mammal (exc Cat and Dog),Islington,Theft and Handling,Not Recovered,Sep-2010
1,Mammal (exc Cat and Dog),Islington,Theft and Handling,Not Recovered,Sep-2010
1,Dog,Harrow,Burglary,Recovered,Sep-2010
1,Dog,Harrow,Burglary,Recovered,Sep-2010
